"TransactionID","StudentNumber","StartTime","UploadTime","ModuleCode"
"R111 581 975 ","24757324","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R112 179 128 ","15385552","2010-08-06 00:00:00","0000-00-00 00:00:00","ENG1011"
"R112 210 028 ","30871391","0000-00-00 00:00:00","0000-00-00 00:00:00","MAT2612"
"R112 241 927 ","24359305","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R112 520 096 ","25654073","0000-00-00 00:00:00","2011-04-01 00:00:00","ENG1011"
"R112 701 114 ","33652496","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R113 437 173 ","25756470","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R113 506 134 ","11261613","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3701"
"R113 825 086 ","15622623","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R113 861 341 ","19705379","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1015"
"R113 899 660 ","17351454","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1016"
"R114 281 071 ","18738225","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1119"
"R114 783 886 ","13572005","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R115 002 581 ","24104104","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT3611"
"R115 552 626 ","23172546","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1018"
"R115 594 737 ","25224159","0000-00-00 00:00:00","2011-01-14 00:00:00","ICT1115"
"R115 652 698 ","14907066","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R116 168 354 ","16456102","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R116 231 299 ","19677631","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1115"
"R116 717 147 ","16811378","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R117 517 838 ","34122064","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R117 946 150 ","28113404","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE3701"
"R118 555 430 ","30326964","0000-00-00 00:00:00","2011-12-20 00:00:00","CHE181T"
"R118 625 502 ","14644919","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1113"
"R118 681 689 ","36351090","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE4801"
"R119 246 212 ","32143259","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1111"
"R119 276 714 ","33586777","2011-05-14 00:00:00","0000-00-00 00:00:00","ICT1119"
"R119 314 380 ","16440696","0000-00-00 00:00:00","2011-04-28 00:00:00","ICT1114"
"R119 390 426 ","30013562","0000-00-00 00:00:00","0000-00-00 00:00:00","ICT1118"
"R119 427 245 ","32979492","0000-00-00 00:00:00","2011-11-25 00:00:00","ICT3611"
"R119 698 820 ","35755103","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2613"
"R120 122 373 ","36758284","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R120 405 526 ","15506663","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1018"
"R120 645 812 ","32894760","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1013"
"R120 845 819 ","19807582","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1019"
"R120 890 394 ","28568824","0000-00-00 00:00:00","0000-00-00 00:00:00","CHE2611"
"R121 007 826 ","33194680","0000-00-00 00:00:00","2011-06-24 00:00:00","ENG1011"
"R121 035 842 ","17375704","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1016"
"R121 888 403 ","31207469","0000-00-00 00:00:00","0000-00-00 00:00:00","ELE2561"
"R122 247 387 ","18043513","0000-00-00 00:00:00","0000-00-00 00:00:00","ENG1017"
"R122 843 075 ","13712061","2010-01-03 00:00:00","0000-00-00 00:00:00","ICT3611"
"R123 376 971 ","33773181","2010-05-14 00:00:00","0000-00-00 00:00:00","ENG1018"
